id;code;name;cargo_class_value
1515;485411;Кальция цианид;3
1516;223057;Камень битуминозный (битумен);2
1517;232145;Камень булыжный (булыжник);1
1518;232153;Камень бутовый (бут);1
1519;251358;Камень керамический строительный;2
1520;241341;Камень литографский;1
1521;232164;Камень строительный, не поименованный в алфавите;1
1522;232179;Камень тальковый (тальк в кусках);1
1523;251146;Камень цементно-шлаковый;2
1524;303139;Камень шамотный;2
1525;251150;Камень шлакобетонный;2
1526;251165;Камень шлаковый;2
1527;241322;Камень, щебень, отсев гипсовый и гипсоангидритовый;1
1528;241337;Камень, щебень, отсев известняковый для технологических нужд;1
1529;251362;Камни бетонные стеновые не поименованные в алфавите;2
1530;266103;Камни дефибрерные (для измельчения древесины);3
1531;641256;Камни искусственные ювелирные;3
1532;232003;Камни природные строительные и поделочные. Туф;1
1533;264288;Камни сборные бордюрные;1
1534;441235;Камфара медицинская;2
1535;713030;Камфен технический;3
1536;71010;КАМЫШ;2
1537;402048;Канатик антенный из черных и цветных металлов;3
1538;623031;Канатики из лубяных волокон;3
1539;411230;Канаты (тросы) стальные;3
1540;262085;Канаты асбестовые;3
1541;623046;Канаты из химических волокон;3
1542;623050;Канаты пеньковые и хлопчатобумажные;3
1543;462157;Канистры полиэтиленовые;3
1544;475119;КАНИФОЛЬ;3
1545;516126;КАПЕРСЫ;2
1546;411244;Капканы металлические;3
1547;441247;Капли гофманские;2
1548;713045;КАПРОЛАКТАМ;3
1549;463037;Капрон (волокно синтетическое);3
1550;682078;Капсюли для охотничьих патронов;3
1551;581066;Капуста квашеная;2
1552;74061;Капуста морская;2
1553;41091;Капуста свежая;2
1554;651027;Каракуль выделанный;3
1555;631038;Каракуль искусственный;3
1556;77017;Каракуль невыделанный;3
1557;514046;КАРАМЕЛЬ;2
1558;684040;Карандаши всякие;2
1559;754058;КАРБАМАТ-Д;3
1560;433046;Карбамид (мочевина искусственная);2
1561;753343;КАРБАМОЛ ЦЭМ;3
1562;433050;Карбанилид (дифенил-мочевина);2
1563;243027;КАРБИД БОРА;2
1564;243031;Карбид кремния (карборунд) зеленый и черный в зерне;2
1565;243046;Карбид кремния (карборунд) зеленый и черный в порошке;2
1566;489179;Карбиды, не поименованные в алфавите;3
1567;461149;Карбоксиметилцеллюлоза;3
1568;461154;КАРБОЛИТ;3
1569;516130;Кардамон (пряность);2
1570;371032;Каркасы из черных металлов;3
1571;371047;Каркасы сенажных башен стальные;3
1572;434053;КАРНАЛЛИТ;2
1573;121099;Карнизы деревянные;3
1574;757202;КАРПАТОЛ-3;3
1575;757217;КАРПАТОЛ-3П;3
1576;671088;Картины в рамках и без рам;2
1577;262094;Картон асбестовый;3
1578;132252;Картон билетный;3
1579;133062;Картон гофрированный;3
1580;132267;Картон для гофры;3
1581;132271;Картон для матриц;3
1582;132286;Картон коробочный;3
1583;132303;Картон кровельный непропитанный;3
1584;252055;Картон кровельный пропитанный;3
1585;132318;Картон облицовочный;3
1586;132337;Картон обувной;3
1587;132322;Картон переплетный;3
1588;132341;Картон прокладочный;3
1589;132360;Картон стелечный;3
1590;132375;Картон строительный прочий;3
1591;132380;Картон тарный;3
1592;132394;Картон технический разного назначения;3
1593;132407;Картон чемоданный;3
1594;132411;Картон шпульный;3
1595;132356;Картон, не поименованный в алфавите;3
1596;361168;Картофелекопалки;2
1597;361172;Картофелесажалки;2
1598;43025;Картофель поздний;2
1599;43010;Картофель ранний;2
1600;43006;Картофель свежий;2
1601;43038;Картофель семенной;2
1602;583027;Картофель сушеный;2
1603;671092;Карты географические;2
1604;683070;Карты игральные;3
1605;682082;КАРУСЕЛИ;3
1606;486058;Катализатор ванадиевый для сернокислотного производства;3
1607;486062;Катализатор КЧ-41;3
1608;486077;Катализатор металлический увлажненный не менее 40 % по массе;3
1609;486081;Катализатор никелевый;3
1610;489183;Катализатор ЦН;3
1611;486109;Катализаторы жидкие и твердые;3
1612;332019;Катанка алюминиевая, латунная, медная;3
1613;324031;Катанка стальная;3
1614;391130;КАТЕРА;3
1615;361187;Катки земледельческие;2
1616;482112;Каустик отработанный;2
1617;451033;Каучук в растворе;3
1618;451044;Каучук натуральный;3
1619;451059;Каучук синтетический пипериленовый (скоп);3
1620;451063;Каучук синтетический, не поименованный в алфавите;3
1621;451006;Каучуки и латексы;3
1622;450003;КАУЧУКИ, РЕЗИНА, ИЗДЕЛИЯ РЕЗИНО-ТЕХНИЧЕСКИЕ, УГЛЕРОД ТЕХНИЧЕСКИЙ (САЖА);3
1623;54020;КАШТАНЫ;2
1624;241356;Кварц и концентрат кварцевый;1
1625;141088;Кварциты криворожские и КМА (железорудное сырье);1
1626;301059;Кварциты, кроме криворожских и КМА;1
1627;516145;Квас сухой;2
1628;595024;Квас фруктовый, хлебный и ягодный в жидком виде;2
1629;483505;Квасцы алюмокалиевые;3
1630;483518;Квасцы, не поименованные в алфавите;3
1631;341018;Кеки (отходы концентратов цветных руд);1
1632;513043;КЕКСЫ;2
1633;234028;КЕРАМЗИТ;1
1634;415067;Керогазы и керосинки;3
1635;212009;КЕРОСИН;2
1636;212014;Керосин осветительный;2
1637;212048;Керосин тракторный;2
1638;212029;Керосин, не поименованный в алфавите;2
1639;212033;Керосин-растворитель;2
1640;351024;КЕССОНЫ;3
1641;552029;КЕФИР;2
1642;232183;Кианит (минерал);1
